bookTitle,bookRating,ISBN,bookAuthor,yearOfPublication,Publisher,url,bookImage,bookDesc,ratingCount,bookPages,bookGenres
Ender's Shadow,4.29,765342405,Orson Scott Card,2002,Starscape Books,https://www.goodreads.com/book/show/9532.Ender_s_Shadow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424904668l/9532.jpg,"Welcome to Battleschool.Growing up is never easy. But try living on the mean streets as a child begging for food and fighting like a dog with ruthless gangs of starving kids who wouldn't hesitate to pound your skull into pulp for a scrap of apple. If Bean has learned anything on the streets, it's how to survive. And not with fists. He is way too small for that. But with brains.Bean is a genius with a magician's ability to zero in on his enemy and exploit his weakness.What better quality for a future general to lead the Earth in a final climactic battle against a hostile alien race, known as Buggers. At Battleschool Bean meets and befriends another future commander - Ender Wiggins - perhaps his only true rival.Only one problem: for Bean and Ender, the future is now.Ender's Shadow is the book that launched The Shadow Series, and the parallel novel to Orson Scott Card's science fiction classic, Ender's Game.",159539,469 pages,"['ScienceFiction', 'Fiction', 'YoungAdult', 'Fantasy', 'ScienceFictionFantasy', 'Audiobook', 'Space', 'Adventure', 'War', 'Novels']"
My Name Is Asher Lev,4.21,449911683,Chaim Potok,1996,Ballantine Books,https://www.goodreads.com/book/show/11507.My_Name_Is_Asher_Lev,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385056726l/11507.jpg,"Asher Lev is a Ladover Hasid who keeps kosher, prays three times a day and believes in the Ribbono Shel Olom, the Master of the Universe. Asher Lev is an artist who is compulsively driven to render the world he sees and feels even when it leads him to blasphemy. In this stirring and often visionary novel, Chaim Potok traces Asher’s passage between these two identities, the one consecrated to God, the other subject only to the imagination.Asher Lev grows up in a cloistered Hasidic community in postwar Brooklyn, a world suffused by ritual and revolving around a charismatic Rebbe. But in time his gift threatens to estrange him from that world and the parents he adores. As it follows his struggle, My Name Is Asher Lev becomes a luminous portrait of the artist, by turns heartbreaking and exultant, a modern classic.",36881,369 pages,"['Fiction', 'Classics', 'Historical-HistoricalFiction', 'Literature-Jewish', 'Religion', 'Religion-Judaism', 'Literature', 'Art', 'YoungAdult', 'Novels']"
The Story of My Life,4.07,451524470,Helen Keller,1999,Signet Classics,https://www.goodreads.com/book/show/821611.The_Story_of_My_Life,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320429331l/821611.jpg,"When she was 19 months old, Helen Keller (1880–1968) suffered a severe illness that left her blind and deaf. Not long after, she also became mute. Her tenacious struggle to overcome these handicaps-with the help of her inspired teacher, Anne Sullivan-is one of the great stories of human courage and dedication. In this classic autobiography, first published in 1903, Miss Keller recounts the first 22 years of her life, including the magical moment at the water pump when, recognizing the connection between the word ""water"" and the cold liquid flowing over her hand, she realized that objects had names. Subsequent experiences were equally noteworthy: her joy at eventually learning to speak, her friendships with Oliver Wendell Holmes, Edward Everett Hale and other notables, her education at Radcliffe (from which she graduated cum laude), and-underlying all-her extraordinary relationship with Miss Sullivan, who showed a remarkable genius for communicating with her eager and quick-to-learn pupil.",138498,240 pages,"['Nonfiction', 'Biography', 'Classics', 'Autobiography-Memoir', 'History', 'Biography-Autobiography', 'BiographyMemoir', 'Historical', 'Disability', 'Inspirational']"
The Witch of Blackbird Pond,3.98,044022036X,Elizabeth George Speare,1996,Laurel-Leaf Books,https://www.goodreads.com/book/show/703292.The_Witch_of_Blackbird_Pond,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345499790l/703292.jpg,"Orphaned Kit Tyler knows, as she gazes for the first time at the cold, bleak shores of Connecticut Colony, that her new home will never be like the shimmering Caribbean island she left behind. In her relatives' stern Puritan community, she feels like a tropical bird that has flown to the wrong part of the world, a bird that is now caged and lonely. The only place where Kit feels completely free is in the meadows, where she enjoys the company of the old Quaker woman known as the Witch of Blackbird Pond, and on occasion, her young sailor friend Nat. But when Kit's friendship with the ""witch"" is discovered, Kit is faced with suspicion, fear, and anger. She herself is accused of witchcraft!",141493,256 pages,"['Historical-HistoricalFiction', 'YoungAdult', 'Fiction', 'Classics', 'Historical', 'Childrens', 'Childrens-MiddleGrade', 'Paranormal-Witches', 'Romance', 'Academic-School']"
The Namesake,3.99,395927218,Jhumpa Lahiri,2003,Houghton Mifflin Company,https://www.goodreads.com/book/show/33917.The_Namesake,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480106986l/33917._SY475_.jpg,"Jhumpa Lahiri's Interpreter of Maladies established this young writer as one the most brilliant of her generation. Her stories are one of the very few debut works -- and only a handful of collections -- to have won the Pulitzer Prize for fiction. Among the many other awards and honors it received were the New Yorker Debut of the Year award, the PEN/Hemingway Award, and the highest critical praise for its grace, acuity, and compassion in detailing lives transported from India to America.In The Namesake, Lahiri enriches the themes that made her collection an international bestseller: the immigrant experience, the clash of cultures, the conflicts of assimilation, and, most poignantly, the tangled ties between generations. Here again Lahiri displays her deft touch for the perfect detail — the fleeting moment, the turn of phrase — that opens whole worlds of emotion.The Namesake takes the Ganguli family from their tradition-bound life in Calcutta through their fraught transformation into Americans. On the heels of their arranged wedding, Ashoke and Ashima Ganguli settle together in Cambridge, Massachusetts. An engineer by training, Ashoke adapts far less warily than his wife, who resists all things American and pines for her family. When their son is born, the task of naming him betrays the vexed results of bringing old ways to the new world. Named for a Russian writer by his Indian parents in memory of a catastrophe years before, Gogol Ganguli knows only that he suffers the burden of his heritage as well as his odd, antic name. Lahiri brings great empathy to Gogol as he stumbles along the first-generation path, strewn with conflicting loyalties, comic detours, and wrenching love affairs. With penetrating insight, she reveals not only the defining power of the names and expectations bestowed upon us by our parents, but also the means by which we slowly, sometimes painfully, come to define ourselves.",242255,291 pages,"['Fiction', 'Cultural-India', 'Contemporary', 'LiteraryFiction', 'Novels', 'AsianLiterature-IndianLiterature', 'Literature', 'BookClub', 'AdultFiction', 'Cultural-Asia']"
Digital Fortress,3.67,031218087X,Dan Brown,1998,Thomas Dunne Books,https://www.goodreads.com/book/show/11125.Digital_Fortress,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360095966l/11125.jpg,"When the National Security Agency's invincible code-breaking machine encounters a mysterious code it cannot break, the agency calls its head cryptographer, Susan Fletcher, a brilliant and beautiful mathematician. What she uncovers sends shock waves through the corridors of power. The NSA is being held hostage... not by guns or bombs, but by a code so ingeniously complex that if released it would cripple U.S. intelligence.Caught in an accelerating tempest of secrecy and lies, Susan Fletcher battles to save the agency she believes in. Betrayed on all sides, she finds herself fighting not only for her country but for her life, and in the end, for the life of the man she loves.(back cover)",579744,510 pages,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Mystery-Crime', 'Thriller-MysteryThriller', 'Novels', 'ScienceFiction', 'Adventure', 'Drama']"
The Bluest Eye,4.08,375411550,Toni Morrison,2000,Knopf,https://www.goodreads.com/book/show/11337.The_Bluest_Eye,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388208495l/11337.jpg,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change- in painful, devastating ways.What its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrisons's most powerful, unforgettable novels- and a significant work of American fiction.",188070,216 pages,"['Fiction', 'Classics', 'Historical-HistoricalFiction', 'Cultural-AfricanAmerican', 'Race', 'Literature', 'Novels', 'LiteraryFiction', 'Academic-School', 'Literature-American']"
Gift from the Sea,4.15,679732411,Anne Morrow Lindbergh,1991,Pantheon Books,https://www.goodreads.com/book/show/77295.Gift_from_the_Sea,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328312670l/77295.jpg,"In this inimitable, beloved classic—graceful, lucid and lyrical—Anne Morrow Lindbergh shares her meditations on youth and age; love and marriage; peace, solitude and contentment as she set them down during a brief vacation by the sea. Drawing inspiration from the shells on the shore, Lindbergh’s musings on the shape of a woman’s life bring new understanding to both men and women at any stage of life. A mother of five, an acclaimed writer and a pioneering aviator, Lindbergh casts an unsentimental eye on the trappings of modernity that threaten to overwhelm us: the time-saving gadgets that complicate rather than simplify, the multiple commitments that take us from our families. And by recording her thoughts during a brief escape from everyday demands, she helps readers find a space for contemplation and creativity within their own lives.With great wisdom and insight Lindbergh describes the shifting shapes of relationships and marriage, presenting a vision of life as it is lived in an enduring and evolving partnership. A groundbreaking, best-selling work when it was originally published in 1955, Gift from the Sea continues to be discovered by new generations of readers. With a new introduction by Lindbergh’s daughter Reeve, this fiftieth-anniversary edition will give those who are revisiting the book and those who are coming upon it for the first time fresh insight into the life of this remarkable woman.The sea and the beach are elements that have been woven throughout Anne Morrow Lindbergh’s life. She spent her childhood summers with her family on a Maine island. After her marriage to Charles Lindbergh in 1929, she accompanied him on his survey flights around the North Atlantic to launch the first transoceanic airlines. The Lindberghs eventually established a permanent home on the Connecticut coast, where they lived quietly, wrote books and raised their family.After the children left home for lives of their own, the Lindberghs traveled extensively to Africa and the Pacific for environmental research.",44124,130 pages,"['Nonfiction', 'Autobiography-Memoir', 'Classics', 'Inspirational', 'Spirituality', 'Writing-Essays', 'SelfHelp', 'Biography', 'Philosophy', 'BiographyMemoir']"
Something Wicked This Way Comes,3.93,553236202,Ray Bradbury,1983,Bantam Doubleday Dell,https://www.goodreads.com/book/show/248596.Something_Wicked_This_Way_Comes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409596011l/248596.jpg,"One of Ray Bradbury’s best-known and most popular novels, Something Wicked This Way Comes, now featuring a new introduction and material about its longstanding influence on culture and genre.For those who still dream and remember, for those yet to experience the hypnotic power of its dark poetry, step inside. The show is about to begin. Cooger & Dark’s Pandemonium Shadow Show has come to Green Town, Illinois, to destroy every life touched by its strange and sinister mystery. The carnival rolls in sometime after midnight, ushering in Halloween a week early. A calliope’s shrill siren song beckons to all with a seductive promise of dreams and youth regained. Two boys will discover the secret of its smoke, mazes, and mirrors; two friends who will soon know all too well the heavy cost of wishes…and the stuff of nightmares.Few novels have endured in the heart and memory as has Ray Bradbury’s unparalleled literary masterpiece Something Wicked This Way Comes. Scary and suspenseful, it is a timeless classic in the American canon.",106982,293 pages,"['Horror', 'Fantasy', 'Fiction', 'Classics', 'ScienceFiction', 'YoungAdult', 'ScienceFictionFantasy', 'Holiday-Halloween', 'Mystery', 'Audiobook']"
The Sisterhood of the Traveling Pants,3.8,385729332,Ann Brashares,2001,Delacorte Press,https://www.goodreads.com/book/show/452306.The_Sisterhood_of_the_Traveling_Pants,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461611233l/452306.jpg,"Carmen got the jeans at a thrift shop. They didn’t look all that great: they were worn, dirty, and speckled with bleach. On the night before she and her friends part for the summer, Carmen decides to toss them. But Tibby says they’re great. She'd love to have them. Lena and Bridget also think they’re fabulous. Lena decides that they should all try them on. Whoever they fit best will get them. Nobody knows why, but the pants fit everyone perfectly. Even Carmen (who never thinks she looks good in anything) thinks she looks good in the pants. Over a few bags of cheese puffs, they decide to form a sisterhood and take the vow of the Sisterhood of the Traveling Pants . . . the next morning, they say good-bye. And then the journey of the pants — and the most memorable summer of their lives — begins.",644483,294 pages,"['YoungAdult', 'Fiction', 'WomensFiction-ChickLit', 'Contemporary', 'Romance', 'YoungAdult-Teen', 'RealisticFiction', 'Childrens', 'YoungAdult-ComingOfAge', 'YoungAdult-YoungAdultContemporary']"
Death on the Nile,4.11,61003697,Agatha Christie,1992,Harper Mass Market Paperbacks (Mm),https://www.goodreads.com/book/show/131359.Death_on_the_Nile,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486837149l/131359._SY475_.jpg,"The tranquillity of a cruise along the Nile is shattered by the discovery that Linnet Ridgeway has been shot through the head. She was young, stylish and beautiful, a girl who had everything - until she lost her life. Hercule Poirot recalls an earlier outburst by a fellow passenger: 'I'd like to put my dear little pistol against her head and just press the trigger.' Yet in this exotic setting, nothing is ever quite what it seems...",147655,214 pages,"['Mystery', 'Fiction', 'Classics', 'Mystery-Crime', 'Thriller-MysteryThriller', 'Mystery-Detective', 'Audiobook', 'Thriller', 'EuropeanLiterature-BritishLiterature', 'Mystery-MurderMystery']"
The Moon Is a Harsh Mistress,4.15,312863551,Robert A. Heinlein,1997,Orb Books,https://www.goodreads.com/book/show/16690.The_Moon_is_a_Harsh_Mistress,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348768309l/16690.jpg,"It is a tale of revolution, of the rebellion of a former penal colony on the Moon against its masters on the Earth. It is a tale of a culture whose family structures are based on the presence of two men for every woman, leading to novel forms of marriage and family. It is the story of the disparate people, a computer technician, a vigorous young female agitator, and an elderly academic who become the movement's leaders, and of Mike, the supercomputer whose sentience is known only to the revolt's inner circle, who for reasons of his own is committed to the revolution's ultimate success.",120475,288 pages,"['ScienceFiction', 'Fiction', 'Classics', 'ScienceFictionFantasy', 'Fantasy', 'Audiobook', 'Politics', 'Novels', 'Space', 'SpeculativeFiction']"
Cold Sassy Tree,4.01,038531258X,Olive Ann Burns,1986,Delta,https://www.goodreads.com/book/show/306654.Cold_Sassy_Tree,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1223675895l/306654.jpg,"The one thing you can depend on in Cold Sassy, Georgia, is that word gets around--fast.On July 5, 1906, scandal breaks in the small town of Cold Sassy, Georgia, when the proprietor of the general store, E. Rucker Blakeslee, elopes with Miss Love Simpson. He is barely three weeks a widower, and she is only half his age and a Yankee to boot. As their marriage inspires a whirlwind of local gossip, fourteen-year-old Will Tweedy suddenly finds himself eyewitness to a family scandal, and that’s where his adventures begin.Cold Sassy Tree is the undeniably entertaining and extraordinarily moving account of small-town Southern life in a bygone era. Brimming with characters who are wise and loony, unimpeachably pious and deliciously irreverent, Olive Ann Burns’s classic bestseller is a timeless, funny, and resplendent treasure.",98923,391 pages,"['Fiction', 'Historical-HistoricalFiction', 'Classics', 'American-Southern', 'Historical', 'AdultFiction', 'YoungAdult-ComingOfAge', 'Adult', 'YoungAdult', 'Audiobook']"
Revolutionary Road,3.9,375708448,Richard Yates,2000,Vintage Books USA,https://www.goodreads.com/book/show/48328.Revolutionary_Road,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353721885l/48328.jpg,"In the hopeful 1950s, Frank and April Wheeler appear to be a model American couple: bright, beautiful, talented, with two young children and a starter home in the suburbs. Perhaps they married too young and started a family too early. Maybe Frank's job is dull. And April never saw herself as a housewife. Yet they have always lived on the assumption that greatness is only just around the corner. But now that certainty is now about to crumble. With heartbreaking compassion and remorseless clarity, Richard Yates shows how Frank and April mortgage their spiritual birthright, betraying not only each other, but their best selves.",82427,355 pages,"['Fiction', 'Classics', 'Historical-HistoricalFiction', 'Novels', 'Literature-American', 'Literature', 'LiteraryFiction', 'Contemporary', 'Literature-thCentury', 'Classics-ModernClassics']"
The Color of Magic,3.98,61020710,Terry Pratchett,2000,HarperTorch,https://www.goodreads.com/book/show/34497.The_Color_of_Magic,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407111017l/34497.jpg,"Terry Pratchett's profoundly irreverent, bestselling novels have garnered him a revered position in the halls of parody next to the likes of Mark Twain, Kurt Vonnegut, Douglas Adams, and Carl Hiaasen.The Color of Magic is Terry Pratchett's maiden voyage through the now-legendary land of Discworld. This is where it all begins -- with the tourist Twoflower and his wizard guide, Rincewind.On a world supported on the back of a giant turtle (sex unknown), a gleeful, explosive, wickedly eccentric expedition sets out. There's an avaricious but inept wizard, a naive tourist whose luggage moves on hundreds of dear little legs, dragons who only exist if you believe in them, and of course THE EDGE of the planet...",333134,228 pages,"['Fantasy', 'Fiction', 'Humor', 'Humor-Comedy', 'ScienceFictionFantasy', 'ScienceFiction', 'Fantasy-Magic', 'Adventure', 'Fantasy-HighFantasy', 'Novels']"
Small Gods,4.3,753101416,Terry Pratchett,1998,Isis Audio Books,https://www.goodreads.com/book/show/34484.Small_Gods,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390899426l/34484.jpg,"Just because you can't explain it, doesn't mean it's a miracle.' Religion is a controversial business in the Discworld. Everyone has their own opinion, and indeed their own gods. Who come in all shapes and sizes. In such a competitive environment, there is a pressing need to make one's presence felt. And it's certainly not remotely helpful to be reduced to be appearing in the form of a tortoise, a manifestation far below god-like status in anyone's book. In such instances, you need an acolyte, and fast. Preferably one who won't ask too many questions...",103014,400 pages,"['Fantasy', 'Fiction', 'Humor', 'Humor-Comedy', 'ScienceFictionFantasy', 'Religion', 'Audiobook', 'ScienceFiction', 'Novels', 'Fantasy-HighFantasy']"
The Restaurant at the End of the Universe,4.2,671493043,Douglas Adams,1983,Pocket,https://www.goodreads.com/book/show/8695.The_Restaurant_at_the_End_of_the_Universe,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521213881l/8695._SY475_.jpg,"alternate edition for ISBN 0345418921/9780345418920Facing annihilation at the hands of the warlike Vogons is a curious time to have a cosmically displaced Arthur Dent and his curious comrades in arms as they hurtle through space powered by pure improbability - and desperately in search of a place to eat. Among Arthur's motley shipmates are Ford Prefect, a long-time friend and contributor to the The Hitch Hiker's Guide to the Galaxy; Zaphod Beeblebrox, the three-armed, two-headed ex-president of the galaxy; Tricia McMilan, a fellow Earth refuge who's gone native (her name is Trillian now); and Marvin, who suffers nothing and no one gladly.Source: douglasadams.com",243746,250 pages,"['ScienceFiction', 'Fiction', 'Humor', 'Fantasy', 'Humor-Comedy', 'Classics', 'ScienceFictionFantasy', 'Audiobook', 'Adventure', 'Novels']"
Starship Troopers,4,441783589,Robert A. Heinlein,1987,Ace Books,https://www.goodreads.com/book/show/17214.Starship_Troopers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1614054412l/17214.jpg,"The historians can’t seem to settle whether to call this one ""The Third Space War"" (or the fourth), or whether ""The First Interstellar War"" fits it better. We just call it “The Bug War."" Everything up to then and still later were ""incidents,"" ""patrols,"" or ""police actions."" However, you are just as dead if you buy the farm in an ""incident"" as you are if you buy it in a declared war...In one of Robert A. Heinlein’s most controversial bestsellers, a recruit of the future goes through the toughest boot camp in the Universe—and into battle with the Terran Mobile Infantry against mankind’s most alarming enemy.",201065,263 pages,"['ScienceFiction', 'Fiction', 'Classics', 'War-MilitaryFiction', 'War', 'ScienceFictionFantasy', 'Space-SpaceOpera', 'Fantasy', 'Space', 'Audiobook']"
Macbeth,3.91,451521358,William Shakespeare,1989,New Amer Library (Mm),https://www.goodreads.com/book/show/8852.Macbeth,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459795224l/8852._SY475_.jpg,"One night on the heath, the brave and respected general Macbeth encounters three witches who foretell that he will become king of Scotland. At first sceptical, he’s urged on by the ruthless, single-minded ambitions of Lady Macbeth, who suffers none of her husband’s doubt. But seeing the prophecy through to the bloody end leads them both spiralling into paranoia, tyranny, madness, and murder.This shocking tragedy - a violent caution to those seeking power for its own sake - is, to this day, one of Shakespeare’s most popular and influential masterpieces.",708419,249 pages,"['Classics', 'Plays', 'Fiction', 'Drama', 'Academic-School', 'Literature', 'Academic-ReadForSchool', 'Plays-Theatre', 'YoungAdult-HighSchool', 'Poetry']"
The Hotel New Hampshire,3.91,034540047X,John Irving,1995,Ballantine Books,https://www.goodreads.com/book/show/11768.The_Hotel_New_Hampshire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1318013543l/11768.jpg,"“The first of my father’s illusions was that bears could survive the life lived by human beings, and the second was that human beings could survive a life led in hotels.” So says John Berry, son of a hapless dreamer, brother to a cadre of eccentric siblings, and chronicler of the lives lived, the loves experienced, the deaths met, and the myriad strange and wonderful times encountered by the family Berry. Hoteliers, pet-bear owners, friends of Freud (the animal trainer and vaudevillian, that is), and playthings of mad fate, they “dream on” in a funny, sad, outrageous, and moving novel by the remarkable author of A Prayer for Owen Meany and Last Night in Twisted River.",59579,520 pages,"['Fiction', 'Contemporary', 'Literature', 'Novels', 'LiteraryFiction', 'Classics', 'Literature-American', 'Humor', 'TheUnitedStatesOfAmerica', 'AdultFiction']"
Illusions: The Adventures of a Reluctant Messiah,4.14,440204887,Richard Bach,1994,Dell Publishing Company,https://www.goodreads.com/book/show/29946.Illusions,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353964306l/29946.jpg,"In the cloud-washed airspace between the cornfields of Illinois and blue infinity, a man puts his faith in the propeller of his biplane. For disillusioned writer and itinerant barnstormer Richard Bach, belief is as real as a full tank of gas and sparks firing in the cylinders...until he meets Donald Shimoda — former mechanic and self-described messiah who can make wrenches fly and Richard's imagination soar....In Illusions, Richard Bach takes to the air to discover the ageless truths that give our souls wings: that people don't need airplanes to soar...that even the darkest clouds have meaning once we lift ourselves above them... and that messiahs can be found in the unlikeliest places — like hay fields, one-traffic-light midwestern towns, and most of all, deep within ourselves.",58706,144 pages,"['Fiction', 'Philosophy', 'Spirituality', 'Fantasy', 'Classics', 'Religion', 'Inspirational', 'Literature', 'Novels', 'SelfHelp']"
Ethan Frome,3.42,451520793,Edith Wharton,1987,Signet Book,https://www.goodreads.com/book/show/5246.Ethan_Frome,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389822254l/5246.jpg,"The classic novel of despair, forbidden emotions, and sexual undercurrents set against the austere New England countrysideEthan Frome works his unproductive farm and struggles to maintain a bearable existence with his difficult, suspicious and hypochondriac wife, Zeena. But when Zeena's vivacious cousin enters their household as a hired girl, Ethan finds himself obsessed with her and with the possibilities for happiness she comes to represent.In one of American fiction's finest and most intense narratives, Edith Wharton moves this ill-starred trio toward their tragic destinies. Different in both tone and theme from Wharton's other works, Ethan Frome has become perhaps her most enduring and most widely read book.",113406,99 pages,"['Classics', 'Fiction', 'Literature', 'Academic-School', 'Romance', 'Historical-HistoricalFiction', 'Literature-American', 'Novels', 'YoungAdult-HighSchool', 'Classics-ClassicLiterature']"
Kane and Abel,4.31,449210189,Jeffrey Archer,1985,Fawcett Books,https://www.goodreads.com/book/show/78983.Kane_and_Abel,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388965561l/78983.jpg,"Born on the same day near the turn of the century on opposite sides of the world, both men are brought together by fate and the quest of a dream. These two men -- ambitious, powerful, ruthless -- are locked in a relentless struggle to build an empire, fuelled by their all-consuming hatred. Over 60 years and three generations, through war, marriage, fortune, and disaster, Kane and Abel battle for the success and triumph that only one man can have.",104723,592 pages,"['Fiction', 'Historical-HistoricalFiction', 'Thriller', 'Drama', 'Classics', 'Historical', 'Novels', 'Mystery', 'Contemporary', 'Thriller-MysteryThriller']"
Forrest Gump,4.05,743453255,Winston Groom,2002,Washington Square Press,https://www.goodreads.com/book/show/186190.Forrest_Gump,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385313197l/186190.jpg,"At 6'6"" and 240lbs, Forrest Gump is difficult to ignore. This satire follows him from the football dynasties of Bear Bryant to Vietnam, and from encounters with Presidents Johnson and Nixon to pow-wows with Chairman Mao. It also takes in Harvard University, a Hollywood set, and a NASA mission.""Forrest Gump is line bred out of Voltaire and Huck Finn; its humour is wild and coarse, a satire right on the money. It is not the less honest for being so funny, for bringing the woebegone archangels of our culture and history to judgement. Anyone who doesn't read this book deserves to spend the winter in North Dakota"" (Jim Harrison)""A superbly controlled satire"" (The Washington Post)""Rollicking, bawdy... A good time... Poking fun at everything"" (People)""Winston Groom has created the ideal citizen for the modern world - a perfect idiot"" (P.J. O'Rourke)""Joyously madcap"" (Publishers Weekly)",61324,248 pages,"['Fiction', 'Humor', 'Historical-HistoricalFiction', 'Classics', 'MediaTieIn', 'Novels', 'Drama', 'Contemporary', 'Adventure', 'Historical']"
Dandelion Wine,4.06,553119303,Ray Bradbury,1976,Ballantine Books,https://www.goodreads.com/book/show/50033.Dandelion_Wine,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374049845l/50033.jpg,"The summer of '28 was a vintage season for a growing boy. A summer of green apple trees, mowed lawns, and new sneakers. Of half-burnt firecrackers, of gathering dandelions, of Grandma's belly-busting dinner. It was a summer of sorrows and marvels and gold-fuzzed bees. A magical, timeless summer in the life of a twelve-year-old boy named Douglas Spaulding—remembered forever by the incomparable Ray Bradbury.Woven into the novel are the following short stories: Illumination, Dandelion Wine, Summer in the Air, Season of Sitting, The Happiness Machine, The Night, The Lawns of Summer, Season of Disbelief, The Last--the Very Last, The Green Machine, The Trolley, Statues, The Window, The Swan, The Whole Town's Sleeping, Goodbye Grandma, The Tarot Witch, Hotter Than Summer, Dinner at Dawn, The Magical Kitchen, Green Wine for Dreaming.",59866,239 pages,"['Fiction', 'Classics', 'ScienceFiction', 'Fantasy', 'YoungAdult', 'ShortStories', 'YoungAdult-ComingOfAge', 'Literature', 'Novels', 'Literature-American']"
Exodus,4.33,553258478,Leon Uris,1983,Bantam Books,https://www.goodreads.com/book/show/42697.Exodus,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568189223l/42697._SY475_.jpg,"Exodus is an international publishing phenomenon--the towering novel of the twentieth century's most dramatic geopolitical event. Leon Uris magnificently portrays the birth of a new nation in the midst of enemies--the beginning of an earthshaking struggle for power. Here is the tale that swept the world with its fury: the story of an American nurse, an Israeli freedom fighter caught up in a glorious, heartbreaking, triumphant era.",93253,608 pages,"['Historical-HistoricalFiction', 'Fiction', 'Classics', 'Historical', 'Cultural-Israel', 'Literature-Jewish', 'War', 'Novels', 'WorldWarII-Holocaust', 'Literature']"
"Absalom, Absalom!",3.97,394717805,William Faulkner,1972,Vintage Books,https://www.goodreads.com/book/show/373755.Absalom_Absalom_,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388474680l/373755.jpg,"Published in 1936, Absalom, Absalom! is considered by many to be William Faulkner's masterpiece. Although the novel's complex and fragmented structure poses considerable difficulty to readers, the book's literary merits place it squarely in the ranks of America's finest novels. The story concerns Thomas Sutpen, a poor man who finds wealth and then marries into a respectable family. His ambition and extreme need for control bring about his ruin and the ruin of his family. Sutpen's story is told by several narrators, allowing the reader to observe variations in the saga as it is recounted by different speakers. This unusual technique spotlights one of the novel's central questions: To what extent can people know the truth about the past?",39646,316 pages,"['Classics', 'Fiction', 'Literature', 'Literature-American', 'Novels', 'Historical-HistoricalFiction', 'American-Southern', 'Gothic-SouthernGothic', 'Literature-thCentury', 'LiteraryFiction']"
The City of Ember,3.86,375822739,Jeanne DuPrau,2003,Random House Children's Books,https://www.goodreads.com/book/show/307791.The_City_of_Ember,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591616783l/307791._SX318_.jpg,"An alternate cover edition can be found here.Many hundreds of years ago, the city of Ember was created by the Builders to contain everything needed for human survival. It worked…but now the storerooms are almost out of food, crops are blighted, corruption is spreading through the city and worst of all—the lights are failing. Soon Ember could be engulfed by darkness…But when two children, Lina and Doon, discover fragments of an ancient parchment, they begin to wonder if there could be a way out of Ember. Can they decipher the words from long ago and find a new future for everyone? Will the people of Ember listen to them?",257135,288 pages,"['YoungAdult', 'ScienceFiction-Dystopia', 'Fantasy', 'ScienceFiction', 'Fiction', 'Childrens-MiddleGrade', 'Childrens', 'Adventure', 'Apocalyptic-PostApocalyptic', 'Childrens-Juvenile']"
